Id,RecipeId
602,271
603,271
604,271
605,272
606,272
607,273
608,273
609,273
610,274
611,274
612,274
613,274
614,275
615,275
616,276
617,276
618,276
619,277
620,277
621,277
622,277
623,278
624,278
625,278
626,279
627,279
628,279
629,280
630,281
631,282
632,283
633,283
634,283
635,284
636,285
637,286
638,287
639,288
640,289
641,290
642,290
643,290
644,291
645,291
646,291
647,292
648,292
649,293
650,293
651,294
652,294
653,294
654,295
655,295
656,295
657,296
658,296
659,297
660,297
661,297
662,298
663,298
664,298
665,299
666,299
667,299
668,300
669,300
670,301
671,301
672,301
673,302
674,302
675,302
676,303
677,303
678,304
679,304
680,304
681,305
682,305
683,305
684,306
685,306
686,307
687,307
688,307
689,308
690,308
691,308
692,309
693,309
694,310
695,310
696,311
697,311
698,312
699,312
700,312
701,313
702,313
703,314
704,314
705,314
706,315
707,316
708,317
709,318
710,318
711,319
712,319
713,320
714,320
715,321
716,322
717,322
718,323
719,323
720,324
721,324
722,325
723,326
724,327
725,328
726,329
727,330
728,331
729,332
730,333
731,334
